name,party,home address,top 5 issues
Shenna Bellows,Democrat,https://www.bellowsformaine.com,"Affordable housing; Quality public education; Affordable health care; Good-paying jobs for working families; Protect/expand voting access and government that works for people. ([bellowsformaine.com](https://www.bellowsformaine.com/))"
Rick Bennett,Independent,https://bennettforgovernor.com,"Make life affordable (housing supply); Health care access and cost control; Tax fairness/targeted relief; Lower energy costs/reliability; Expand affordable, reliable childcare. ([bennettforgovernor.com](https://bennettforgovernor.com/vision-for-maine))"
Jonathan Bush,Republican,https://jonathanbush.org,"$1B tax cut to jump‑start growth; Audit state government to cut waste; Make it easiest state to start/run a business; Fast‑track homebuilding/permits to fix housing; Cut energy costs by expanding natural gas. ([jonathanbush.org](https://jonathanbush.org/issues/))"
Ken(neth) Capron,Republican,https://kc4me.com (site active but blocking some fetches),"Support Medicare‑for‑All/major‑medical backstop; Improve access and sustainability of care; Use risk assessment and public input to guide health reforms; Stand up programs that meet people at greatest need; Keep costs down for patients. ([pressherald.com](https://www.pressherald.com/2025/10/07/heres-what-candidates-for-governor-have-to-say-about-health-care-in-maine/?utm_source=openai))"
Bobby Charles,Republican,https://www.bobbyformaine.com,"Cut crime (support law enforcement, address drug crisis); Cut taxes/abolish state income tax; Refocus K‑12 on core skills/parental rights; 40% energy‑bill cut plan incl. PUC reform; End costly mandates/sanctuary and tighten border policies. ([bobbyformaine.com](https://www.bobbyformaine.com/issues))"
Jason Cherry,Democrat,https://cherryformaine.com,"Direct democracy reforms (citizens’ online forum); Expand ranked‑choice voting; Zero‑based/“zero‑day” budgeting; Independent/bipartisan chief election official; Broader government transparency/town‑hall governance. ([cherryformaine.com](https://cherryformaine.com/))"
Ed Crockett,Independent,https://www.edcrockettformaine.com,"Expand first‑time homebuyer programs; Zoning reform and accelerate workforce housing; Lower education costs/extend free community college; Health care affordability; Pragmatic collaboration on environment and other state challenges. ([pressherald.com](https://www.pressherald.com/2026/02/11/we-asked-all-21-candidates-for-maine-governor-how-they-would-lower-costs-heres-what-they-said/?utm_source=openai))"
John Glowa,Independent,https://johnglowaforgovernor.com,"Cut or eliminate sales tax for lower/middle income; Property‑tax relief for seniors; Build 10,000 low‑cost public housing units; Renter savings accounts toward homeownership; Protect environment and improve schools/health and addiction services. ([pressherald.com](https://www.pressherald.com/2026/02/11/we-asked-all-21-candidates-for-maine-governor-how-they-would-lower-costs-heres-what-they-said/?utm_source=openai))"
Troy Jackson,Democrat,https://jacksonformaine.com,"Stop electricity rate hikes/lower energy costs; Tax relief for working families (double EITC); Lower prescription drug costs; Create Department of Housing Affordability; Make child care affordable (no family pays >7% of income). ([jacksonformaine.com](https://jacksonformaine.com/issues))"
David Jones,Republican,https://www.jones2026.com,"Phase out income tax; Zero‑based budgeting and spending audits; School choice/ESAs and basics‑focused education; Pro‑housing development/permit streamlining and protect property rights; Energy plan incl. end costly net‑metering, explore small modular nuclear. ([jones2026.com](https://www.jones2026.com/issues))"
Angus King III,Democrat,https://angusforgovernor.com,"Ratepayers’ Bill of Rights to lower energy costs and boost reliability; Streamlined clean‑energy permitting and utility accountability; Do not subsidize large new energy users (e.g., data centers); Lower health costs (prevention/telehealth/prescription drugs); Streamline building/zoning codes to expand housing. ([angusforgovernor.com](https://angusforgovernor.com/issue/maine-ratepayers-bill-of-rights/))"
Derek Levasseur,Independent,https://www.derekformaine.com/,"Lower cost of living; Eliminate property taxes on primary homes (replace with other revenue/efficiencies); Reform DHHS for child protection and accountability; Government transparency/oversight and audits; Unite across party lines. ([pressherald.com](https://www.pressherald.com/2025/11/06/another-independent-enters-2026-maine-governors-race/?utm_source=openai))"
James Libby,Republican,https://www.jimlibbyforgovernor.com,"Economic development and jobs; K‑12/education improvements; Energy policy to attract investment/lower costs; Tax relief (targeted rate cuts); Housing/transportation policy. ([jimlibbyforgovernor.com](https://www.jimlibbyforgovernor.com/))"
Garrett Mason,Republican,https://masonformaine.com,"Expand access to capital and improve housing accessibility; Increase natural‑gas supply to cut energy costs; Expand Health Savings Accounts access; Address crime/public safety; Tackle over‑taxation and abuse of social‑safety‑net programs. ([pressherald.com](https://www.pressherald.com/2026/02/11/we-asked-all-21-candidates-for-maine-governor-how-they-would-lower-costs-heres-what-they-said/?utm_source=openai))"
Owen McCarthy,Republican,https://owenformaine.com,"Rein in state spending/restore fiscal discipline; Tax relief for families/small business; Crack down on illegal immigration (cooperate with federal law enforcement); Fix failing schools/get back to basics; Tackle addiction crisis. ([owenformaine.com](https://owenformaine.com/))"
Ben Midgley,Republican,https://www.benforgovernor.com,"Lower costs/better jobs/cut wasteful spending; Support police/end sanctuary cities; Back‑to‑basics education and parental rights; Defend Second Amendment; Cut red tape and lower energy costs by ending costly subsidies. ([benforgovernor.com](https://www.benforgovernor.com/a-stronger-maine))"
Alexander Murchison,Independent,(no campaign site found),"Top issues not publicly listed as of Feb 24, 2026; filed as an independent. ([en.wikipedia.org](https://en.wikipedia.org/wiki/2026_Maine_gubernatorial_election?utm_source=openai))"
Kenneth Pinet,Democrat,(no campaign site found),"Top issues not publicly listed as of Feb 24, 2026; filed as a Democrat. ([pressherald.com](https://www.pressherald.com/2025/08/04/another-democrat-enters-maine-governors-race/?utm_source=openai))"
Hannah Pingree,Democrat,https://hannahforgovernor.com,"Create public health‑insurance option and lower drug costs; Expand rural/mental health and reproductive care access; Bold housing‑supply/affordability plan; Climate action integrated with economic policy; Lower costs for families while protecting rights/democracy. ([hannahforgovernor.com](https://hannahforgovernor.com/health-care/))"
Nirav Shah,Democrat,https://shahformaine.com,"Fix housing; Fund health care; Feed kids; Fuel economic growth; Push back on federal policies seen as harmful to Mainers. ([shahformaine.com](https://shahformaine.com/))"
Robert Wessels,Republican,https://www.voterobertwessels.com,"Cut taxes/control state spending; Energy affordability (oppose costly mandates); School choice/education basics; Medical freedom/oppose overreach; Election integrity and protect 2A rights. ([voterobertwessels.com](https://www.voterobertwessels.com/))"
David J. Foster (new),Republican,(no campaign site found),"15% small‑business tax cut; $250M rural revitalization fund; Expand broadband; Expand public transit; Fast‑track 50,000 affordable homes in 5 years; explore MaineCare eligibility expansion. ([pressherald.com](https://www.pressherald.com/2026/02/11/we-asked-all-21-candidates-for-maine-governor-how-they-would-lower-costs-heres-what-they-said/?utm_source=openai))"
